Ville,email,departement
anse bertrand,contact@ansebertrand.com,
Ville,email,departement
baie mahault,contact@baiemahault.fr,guadeloupe
Ville,email,departement
baillif,baillif.ville@wanadoo.fr,guadeloupe
Ville,email,departement
basse terre,"",guadeloupe
Ville,email,departement
bouillante,bouillante.ville@wanadoo.fr,guadeloupe
Ville,email,departement
capesterre belle eau,infos@villedecapesterre.fr,guadeloupe
Ville,email,departement
capesterre de marie galante,calixteg@wanadoo.fr,guadeloupe
Ville,email,departement
deshaies,"",guadeloupe
Ville,email,departement
gourbeyre,hello@largeoange.com,guadeloupe
Ville,email,departement
goyave,"",guadeloupe
Ville,email,departement
grand bourg,grand-bourg.ville@wanadoo.fr,guadeloupe
Ville,email,departement
la desirade,"",guadeloupe
Ville,email,departement
lamentin,accueilmairie.lamentin@mairie-lamentin971.fr,guadeloupe
Ville,email,departement
le gosier,gosier.mairie@wanadoo.fr,guadeloupe
Ville,email,departement
le moule,si.moule@wanadoo.fr,guadeloupe
Ville,email,departement
les abymes,mairie.all@ville-des-abymes.fr,guadeloupe
Ville,email,departement
morne a l eau,"",guadeloupe
Ville,email,departement
petit bourg,"",guadeloupe
Ville,email,departement
petit canal,petit-canal.ville@wanadoo.fr,guadeloupe
Ville,email,departement
pointe a pitre,direction.generale@ville-pointeapitre.fr,guadeloupe
Ville,email,departement
pointe noire,sd.pointe-noire.97116@orange.fr,guadeloupe
Ville,email,departement
port louis,mairie@ville-portlouis.fr,guadeloupe
Ville,email,departement
saint barthelemy,mairie.stbarth@wanadoo.fr,guadeloupe
Ville,email,departement
saint claude,info@saint-claude.fr,guadeloupe
Ville,email,departement
sainte anne,"",guadeloupe
Ville,email,departement
sainte rose,"",guadeloupe
Ville,email,departement
saint francois,mairie-saint-francois-guadeloupe@wanadoo.fr,guadeloupe
Ville,email,departement
saint louis,secret.maire-stlouis@wanadoo.fr,guadeloupe
Ville,email,departement
saint martin,jean.arnell@com-saint-martin.fr,guadeloupe
Ville,email,departement
terre de bas,mairie.terre.de.bas@wanadoo.fr,guadeloupe
Ville,email,departement
terre de haut,terre-de-haut@orange.fr,guadeloupe
Ville,email,departement
trois rivieres,mairie.trois.rivieres@wanadoo.fr,guadeloupe
Ville,email,departement
vieux fort,mairie@ville-vieux-fort.fr,guadeloupe
Ville,email,departement
vieux habitants,"",guadeloupe
Ville,email,departement
basse pointe,"",guadeloupe
Ville,email,departement
bellefontaine,mairie@ville-bellefontaine.fr,martinique
Ville,email,departement
case pilote,"",martinique
Ville,email,departement
ducos,mairie-ducos@wanadoo.fr,martinique
Ville,email,departement
fonds saint denis,"",martinique
Ville,email,departement
